type,rd_percentage,pause,bandwidth_bytes_per_second,latency_core_ptr_chase,latency_mem_ptr_chase,latency_mem_ptr_chase_ram,bandwidth_ram
DDR4-1.3333333,0,0,109155838080.95953,61.878880643166355,199.04761904761904,185.99175989979398,109200257010.0
DDR4-1.3333333,0,5,107371159220.3898,54.2312925170068,170.0,165.25074713126867,107404180266.0
DDR4-1.3333333,0,10,106850417991.0045,47.611959469102324,158.57142857142856,155.72415689310392,106872009372.0
DDR4-1.3333333,0,15,77849033883.05849,32.52923221794684,77.61904761904762,76.94135967353398,77888853894.0
DDR4-1.3333333,0,20,69799608995.50226,30.345650955259607,67.14285714285714,66.54644191366104,69790180542.0
DDR4-1.3333333,0,25,72520722038.98051,31.152026027802428,70.95238095238095,70.33421050835526,72534489054.0
DDR4-1.3333333,0,30,70859830884.55772,30.522101217168476,66.66666666666666,66.21426765535668,70849684398.0
DDR4-1.3333333,0,35,69122571514.24287,30.02686625310917,65.23809523809524,64.58354636458866,69129804846.0
DDR4-1.3333333,0,40,67453553223.38831,29.5667950477371,64.76190476190476,64.32430210810755,67461932898.0
DDR4-1.3333333,0,45,66202713043.47826,29.356541754632886,63.80952380952381,62.9803523245088,66193592280.0
DDR4-1.3333333,0,50,64994590704.647675,28.999203936893906,63.80952380952381,63.32467133311678,65013543648.0
DDR4-1.3333333,0,55,63278287256.37182,28.875605326876514,60.95238095238095,60.26776500669412,63260201832.0
DDR4-1.3333333,0,60,62169033883.05847,28.625464471502884,61.42857142857142,60.8232480205812,62170864152.0
DDR4-1.3333333,0,65,60730799400.29986,28.38968253968254,60.0,59.280776232019406,60716666874.0
DDR4-1.3333333,0,70,59398620689.655174,28.373327664399092,59.047619047619044,58.35156520878913,59399947086.0
DDR4-1.3333333,0,80,57083461469.265366,27.64141518676436,58.095238095238095,57.34668518366713,57066458364.0
DDR4-1.3333333,0,90,54456515742.12894,27.377960822883367,56.19047619047619,55.702516392562906,54433421946.0
DDR4-1.3333333,0,100,51843742128.93553,27.20892908061428,54.76190476190476,53.920610098015246,51820140348.0
DDR4-1.3333333,0,120,47184877961.019485,26.54770524194083,53.33333333333333,52.56511406412785,47164451388.0
DDR4-1.3333333,0,140,42937072263.868065,26.09625459379154,51.904761904761905,51.22131278053281,42907890594.0
DDR4-1.3333333,0,160,39456710044.977516,26.018369943397207,50.95238095238095,50.585690764642266,39441119778.0
DDR4-1.3333333,0,180,36408026386.806595,25.787208822923105,50.95238095238095,50.192912004822794,36360576018.0
DDR4-1.3333333,0,200,33784304647.676167,25.701142343729945,49.52380952380952,49.115902977897576,33752535498.0
DDR4-1.3333333,0,220,31435898050.974514,25.72870131039183,50.476190476190474,49.683238242080954,31411789902.0
DDR4-1.3333333,0,260,28041576011.994003,25.687678090103965,50.0,49.37759073443977,28015168884.0
DDR4-1.3333333,0,300,25349546026.986507,25.828589500316255,49.52380952380952,49.00977422524435,25322464818.0
DDR4-1.3333333,0,340,23216206296.851574,25.762290549490118,49.047619047619044,48.33021645825541,23185718070.0
DDR4-1.3333333,0,380,21458326836.581707,25.771219851576994,49.52380952380952,48.74848096871202,21429554130.0
DDR4-1.3333333,0,450,19044231484.25787,25.796949082663367,48.57142857142857,47.95229069880727,19015836618.0
DDR4-1.3333333,0,550,16468533733.133434,25.83080974325214,49.047619047619044,48.56194996404874,16465044792.0
DDR4-1.3333333,0,600,15446395202.3988,25.875417086986886,49.047619047619044,48.20275170506879,15415619922.0
DDR4-1.3333333,0,700,13856700449.775114,25.45227287176553,49.047619047619044,48.501736212543406,13821929370.0
DDR4-1.3333333,0,800,12622181709.145428,25.588128484476496,48.095238095238095,47.61215444030386,12589873128.0
DDR4-1.3333333,0,900,11560414992.503748,25.70958798613785,48.095238095238095,47.48894218722355,11552946216.0
DDR4-1.3333333,0,1000,10947857271.364319,25.397476901208243,48.095238095238095,47.63099969077499,10911519030.0
DDR4-1.3333333,0,2000,6978993703.148427,25.26822157434402,47.61904761904762,47.117688427942205,6940395348.0
DDR4-1.3333333,0,10000,3648345427.286357,24.832551268682657,44.285714285714285,43.740249343506235,3605860938.0
DDR4-1.3333333,10,0,106350296851.57423,59.557169592727924,178.09523809523807,167.43547093588677,106283799276.0
DDR4-1.3333333,10,5,104855776911.54422,49.499047619047616,160.47619047619048,156.58595566464888,104844115758.0
DDR4-1.3333333,10,10,98484975112.44379,44.255808817033305,128.57142857142856,127.37392593434814,98459677722.0
DDR4-1.3333333,10,15,62794756221.88906,32.7968363248914,73.33333333333333,72.91992482299811,62757058446.0
DDR4-1.3333333,10,20,54924732833.58321,30.19213539074166,63.80952380952381,63.0236438255911,54878107164.0
DDR4-1.3333333,10,25,56343623388.30585,30.675323282466138,65.23809523809524,64.7420041185501,56281506306.0
DDR4-1.3333333,10,30,55138322038.980515,30.065564415611718,64.76190476190476,63.98026134950653,55068398574.0
DDR4-1.3333333,10,35,54235000899.55023,29.604288671990535,61.904761904761905,61.380060034501504,54197976642.0
DDR4-1.3333333,10,40,53282782608.695656,29.332937485338963,62.38095238095238,61.83138754578468,53256195432.0
DDR4-1.3333333,10,45,52733831484.257866,29.270060712457024,61.904761904761905,61.464274536606865,52668388494.0
DDR4-1.3333333,10,50,52135580209.89505,28.785218104154982,59.52380952380952,58.96473897411847,52085822634.0
DDR4-1.3333333,10,55,51716797601.1994,29.047474000261083,59.52380952380952,59.07251847681296,51668552280.0
DDR4-1.3333333,10,60,50866067766.11695,28.696970998925885,59.047619047619044,58.32112720802817,50813853576.0
DDR4-1.3333333,10,65,50296630884.557724,28.08912265937303,58.095238095238095,57.6304439407611,50223224526.0
DDR4-1.3333333,10,70,49638534332.83358,28.119609827402037,58.095238095238095,57.40054343501359,49590666852.0
DDR4-1.3333333,10,80,48170074962.51874,27.777495487991114,56.666666666666664,56.03884715097118,48121149510.0
DDR4-1.3333333,10,90,46716996701.64917,27.32062764985754,56.19047619047619,55.80386464509662,46649213208.0
DDR4-1.3333333,10,100,44793417691.15443,27.089355026304755,55.238095238095234,54.79596961989924,44720496894.0
DDR4-1.3333333,10,120,41596430584.70765,26.684487128184607,53.33333333333333,52.51056656276416,41534325276.0
DDR4-1.3333333,10,140,38442698650.67467,26.023152664507485,53.33333333333333,52.87553307188833,38351782092.0
DDR4-1.3333333,10,160,35650859370.31485,26.09518596710715,51.904761904761905,51.44974103624352,35589331386.0
DDR4-1.3333333,10,180,33219032083.95802,25.789218717790146,50.95238095238095,50.32328075808202,33164325396.0
DDR4-1.3333333,10,200,31323125637.18141,25.684584777307148,51.42857142857142,50.75327226883181,31285197738.0
DDR4-1.3333333,10,220,29434338830.584705,25.782209853638424,50.476190476190474,49.988226499705654,29379864690.0
DDR4-1.3333333,10,260,26528450974.51275,25.783652855081428,50.476190476190474,49.82306749557669,26477114382.0
DDR4-1.3333333,10,300,24152035982.008995,25.605710705334765,49.52380952380952,49.0815642270391,24100487568.0
DDR4-1.3333333,10,340,22260629685.15742,25.692221794378128,50.476190476190474,49.7038039925951,22212490392.0
DDR4-1.3333333,10,380,20659785307.34633,25.833920665040207,50.0,49.37067123426678,20641779948.0
DDR4-1.3333333,10,450,18431405097.451275,25.824187739611972,49.52380952380952,49.04770247619256,18388520028.0
DDR4-1.3333333,10,550,16113223388.305847,25.542226646756262,49.52380952380952,48.857160471429005,16068738738.0
DDR4-1.3333333,10,600,15201707946.026987,25.834437000606695,49.047619047619044,48.66446446661161,15158807148.0
DDR4-1.3333333,10,700,13702150524.73763,25.730385916181216,49.047619047619044,48.25334970633374,13661068626.0
DDR4-1.3333333,10,800,12549843478.26087,25.692465665511488,48.57142857142857,48.05376420134411,12508838016.0
DDR4-1.3333333,10,900,11530122938.530735,25.47288448089516,49.047619047619044,48.40609171015229,11484409056.0
DDR4-1.3333333,10,1000,10713782308.845577,25.88285352163679,48.095238095238095,47.53523893838097,10674461088.0
DDR4-1.3333333,10,2000,6961060269.865067,25.20328798185941,47.61904761904762,46.80396567009914,6918221562.0
DDR4-1.3333333,10,10000,3642837781.109445,24.855938725855303,44.76190476190476,44.363501609087535,3633275802.0
DDR4-1.3333333,20,0,105605085457.27138,56.54156434357975,181.42857142857142,168.39971370999285,105629067816.0
DDR4-1.3333333,20,5,98175472263.86807,46.00850340136054,137.14285714285714,134.47987986199698,98205283914.0
DDR4-1.3333333,20,10,91129379310.34483,43.45237008541435,117.61904761904762,116.21342690533567,91152810150.0
DDR4-1.3333333,20,15,67821155022.488754,32.333995831111544,74.76190476190476,74.1954723548868,67840096758.0
DDR4-1.3333333,20,20,51960611694.15292,29.68237665436545,62.857142857142854,62.392085309802134,51957617832.0
DDR4-1.3333333,20,25,54979137631.18441,30.23185061164155,65.23809523809524,64.71154736778868,54974865510.0
DDR4-1.3333333,20,30,52162648275.86207,29.634826974267966,62.38095238095238,61.67244904181122,52161213510.0
DDR4-1.3333333,20,35,51675490254.87257,29.239671834398997,61.904761904761905,61.294759532368985,51670971234.0
DDR4-1.3333333,20,40,51011886056.97152,29.3656462585034,61.904761904761905,61.0981680274542,50999307072.0
DDR4-1.3333333,20,45,50640657271.36432,28.914453254762627,60.476190476190474,60.10804050270101,50625174810.0
DDR4-1.3333333,20,50,50411082458.770615,28.84983569699066,60.0,59.2374839809371,50399405340.0
DDR4-1.3333333,20,55,50506593103.44828,28.53305095623155,59.52380952380952,58.94615697365393,50497776318.0
DDR4-1.3333333,20,60,49464976311.844086,28.715993570423947,59.52380952380952,58.84972497124312,49452383052.0
DDR4-1.3333333,20,65,48820984707.64618,28.1253021869905,57.61904761904761,56.87457742186444,48804505314.0
DDR4-1.3333333,20,70,47798711844.077965,28.436112649652763,58.095238095238095,57.618584940464615,47783301624.0
DDR4-1.3333333,20,80,46056213493.25337,27.92624344819895,58.095238095238095,57.60909894022747,46016655534.0
DDR4-1.3333333,20,90,44088103148.42579,27.555950315348813,55.714285714285715,54.98815037470376,44044801128.0
DDR4-1.3333333,20,100,42311551424.28786,27.291071939797963,55.714285714285715,54.91113062277826,42281380314.0
DDR4-1.3333333,20,120,38969014692.65367,27.02584764064356,54.76190476190476,54.07502610187565,38926284762.0
DDR4-1.3333333,20,140,36158032983.50825,26.554401877710145,53.33333333333333,52.75528706888217,36129565470.0
DDR4-1.3333333,20,160,33715929235.382313,26.438874578957797,52.38095238095238,51.93869754846743,33698915250.0
DDR4-1.3333333,20,180,31540744827.586205,26.38203343352845,53.33333333333333,52.917012572925316,31521046200.0
DDR4-1.3333333,20,200,29682988905.547226,26.175418628990055,52.38095238095238,51.68810379220259,29645143818.0
DDR4-1.3333333,20,220,28045807496.251877,26.12951284160497,51.42857142857142,50.970062774251566,28014362562.0
DDR4-1.3333333,20,260,25368554122.93853,25.949789439585356,51.904761904761905,51.34646078366151,25359958674.0
DDR4-1.3333333,20,300,23267387106.446777,25.903287550761746,51.42857142857142,50.85931777148294,23238128838.0
DDR4-1.3333333,20,340,21509910644.67766,25.961179138321995,50.95238095238095,50.23244975581124,21480352260.0
DDR4-1.3333333,20,380,20071340329.835083,25.79750309214595,50.95238095238095,50.25304700632617,20044297176.0
DDR4-1.3333333,20,450,17978434782.608696,25.590353434606925,50.95238095238095,50.11264475281612,17946253764.0
DDR4-1.3333333,20,550,15739710944.527737,25.45315023205544,51.42857142857142,50.68499451712486,15735728772.0
DDR4-1.3333333,20,600,14936870764.617693,25.826537066439478,50.476190476190474,49.96717024917925,14907235458.0
DDR4-1.3333333,20,700,13420857571.214394,25.662720832212358,50.0,49.1569002289225,13415947488.0
DDR4-1.3333333,20,800,12286483958.020988,25.671381170170516,50.476190476190474,50.0373320009333,12279036954.0
DDR4-1.3333333,20,900,11398812593.703148,25.48998700603837,49.047619047619044,48.53506096337652,11390472828.0
DDR4-1.3333333,20,1000,10546940929.535234,25.789540816326532,50.0,49.184315729607896,10540612044.0
DDR4-1.3333333,20,2000,6912901949.025487,25.323609741294284,47.61904761904762,47.181202179530054,6875889786.0
DDR4-1.3333333,20,10000,3648815592.2038984,24.83389195094096,44.285714285714285,43.79431309485782,3639323196.0
DDR4-1.3333333,30,0,106779288755.6222,52.60948703805846,177.14285714285714,166.0456841511421,106838547108.0
DDR4-1.3333333,30,5,97401312143.92804,45.08079920710006,130.47619047619048,128.38099145952478,97446134076.0
DDR4-1.3333333,30,10,90914916941.52924,43.394904458598724,115.71428571428571,114.82166762054169,90927846996.0
DDR4-1.3333333,30,15,63140663268.36582,32.75130821559392,73.80952380952381,73.24822383120559,63143688660.0
DDR4-1.3333333,30,20,56508718440.77962,29.536662387297653,62.38095238095238,62.007216800180416,56500018896.0
DDR4-1.3333333,30,25,59007376311.844086,30.1377852025766,64.76190476190476,64.20565135514128,58997593644.0
DDR4-1.3333333,30,30,56718411994.003,29.93707109217313,61.904761904761905,61.14503777862594,56712080934.0
DDR4-1.3333333,30,35,55284677661.16941,29.105354962497817,61.42857142857142,60.69248101731202,55288523808.0
DDR4-1.3333333,30,40,53873175412.29386,28.750251155314444,60.95238095238095,60.43413001085325,53873029872.0
DDR4-1.3333333,30,45,52854999700.14993,28.854563011645332,60.0,59.20543123013578,52847391432.0
DDR4-1.3333333,30,50,51473453673.16342,28.786411816312146,60.476190476190474,59.916884997922125,51468988194.0
DDR4-1.3333333,30,55,50494167316.34183,28.414497322937525,58.57142857142857,57.855419946385496,50486487852.0
DDR4-1.3333333,30,60,49288865967.016495,28.314155599869885,58.57142857142857,57.92663019816575,49277814870.0
DDR4-1.3333333,30,65,48397231784.10794,27.931596409055427,57.61904761904761,57.00924517523113,48377155962.0
DDR4-1.3333333,30,70,47171041679.16042,27.82280994030265,57.14285714285714,56.70489891762247,47149131318.0
DDR4-1.3333333,30,80,45172639280.359825,27.617971326461618,57.14285714285714,56.33587640839691,45136557768.0
DDR4-1.3333333,30,90,43203655772.113945,27.71774942156088,56.19047619047619,55.713946392848655,43158655968.0
DDR4-1.3333333,30,100,41377938230.88456,27.61439748313118,55.238095238095234,54.45605011140125,41354919180.0
DDR4-1.3333333,30,120,38138233283.358315,27.02034067595292,54.285714285714285,53.877040346926,38114320992.0
DDR4-1.3333333,30,140,35297564017.991,26.968532363440424,53.80952380952381,53.237408830935216,35294621598.0
DDR4-1.3333333,30,160,32878565517.24138,27.0159405031854,53.33333333333333,52.66130081653251,32860342938.0
DDR4-1.3333333,30,180,30758927736.131935,26.7510123892386,53.33333333333333,52.70973956774349,30736094142.0
DDR4-1.3333333,30,200,29016093553.22339,26.453589591176275,52.857142857142854,52.20795505519888,28992831318.0
DDR4-1.3333333,30,220,27508207496.251877,26.22800256904303,52.38095238095238,51.70503729262593,27482594838.0
DDR4-1.3333333,30,260,25017743928.035984,26.158251400368208,52.38095238095238,51.85831329645784,24995502246.0
DDR4-1.3333333,30,300,22965003898.050972,26.133482183660412,51.904761904761905,51.14491027862276,22941806412.0
DDR4-1.3333333,30,340,21307202398.800602,25.875986135899225,51.904761904761905,51.17082952927074,21278369214.0
DDR4-1.3333333,30,380,19859228785.607197,25.799770665842093,51.904761904761905,51.131720028292996,19830622506.0
DDR4-1.3333333,30,450,17882655472.26387,25.609700271085877,51.42857142857142,50.61098751527468,17850704904.0
DDR4-1.3333333,30,550,15669387706.146929,25.685406237966884,50.95238095238095,50.179677504491934,15636954630.0
DDR4-1.3333333,30,600,14820337031.484257,25.59853715922459,50.95238095238095,50.40356751008919,14814911874.0
DDR4-1.3333333,30,700,13379214392.803598,25.593141015804818,49.52380952380952,49.01115872527896,13347410328.0
DDR4-1.3333333,30,800,12229123838.08096,25.73354937438113,49.52380952380952,49.08541472713537,12224207226.0
DDR4-1.3333333,30,900,11345415292.353825,25.73649421961601,50.0,49.224736230618404,11311856676.0
DDR4-1.3333333,30,1000,10502006596.701649,25.901722666252812,49.047619047619044,48.64695871617397,10467640128.0
DDR4-1.3333333,30,2000,6882206896.551724,25.534887876351288,47.61904761904762,47.208256930206424,6845652804.0
DDR4-1.3333333,30,10000,3646061769.1154423,24.842817418938377,44.76190476190476,44.310697107767425,3635291598.0
DDR4-1.3333333,40,0,107333478860.56973,51.58464749536178,155.7142857142857,146.80687867017195,107122774746.0
DDR4-1.3333333,40,5,101438886956.52174,44.09902472315787,128.57142857142856,126.11042115276052,101214468396.0
DDR4-1.3333333,40,10,90266022188.90555,41.78742539960769,107.61904761904762,106.59410741485269,90048958710.0
DDR4-1.3333333,40,15,68014191304.34783,32.50117708181124,74.28571428571428,73.53798558844964,67870333746.0
DDR4-1.3333333,40,20,51882362818.590706,29.219774605121017,60.476190476190474,60.06311775157794,51766923258.0
DDR4-1.3333333,40,25,53872235082.45878,29.666029374712846,61.904761904761905,61.17192677929817,53737165032.0
DDR4-1.3333333,40,30,51227154422.788605,29.24758401214563,60.95238095238095,60.23009250575231,51123480276.0
DDR4-1.3333333,40,35,50042943328.33583,29.02394731879959,60.0,59.416364235409105,49934965290.0
DDR4-1.3333333,40,40,49213841079.46027,28.719079192858576,59.047619047619044,58.437165710929136,49081072908.0
DDR4-1.3333333,40,45,47702462368.81559,28.684955245256,59.047619047619044,58.338333708458336,47555516358.0
DDR4-1.3333333,40,50,46070385607.1964,28.625750300120046,58.57142857142857,58.20625870515647,45934410942.0
DDR4-1.3333333,40,55,45215155622.18891,28.514103549369537,58.095238095238095,57.36630743415769,45082534368.0
DDR4-1.3333333,40,60,44773402098.95052,28.152302243211334,56.666666666666664,56.29748090743702,44635027026.0
DDR4-1.3333333,40,65,44008443778.110954,28.228921444096308,57.14285714285714,56.49035316225883,43888375140.0
DDR4-1.3333333,40,70,43276262668.66567,28.381760204081633,56.666666666666664,56.27167940679198,43163493882.0
